<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
SBS,20150603,2.3000,2.7000,2.3000,2.7000,566950,2.3000,2.7000,2.3000,2.7000,0,0,0
SBS,20150602,2.5000,2.8000,2.5000,2.6000,1491700,2.5000,2.8000,2.5000,2.6000,0,0,0
SBS,20150601,3.0000,3.0000,2.7000,2.7000,637550,3.0000,3.0000,2.7000,2.7000,0,0,0
SBS,20150529,3.0000,3.0000,2.8000,2.9000,1439660,3.0000,3.0000,2.8000,2.9000,0,0,0
SBS,20150528,2.8000,2.8000,2.8000,2.8000,253160,2.8000,2.8000,2.8000,2.8000,0,0,0
SBS,20150527,2.6000,2.6000,2.6000,2.6000,160400,2.6000,2.6000,2.6000,2.6000,0,0,0
SBS,20150526,2.3000,2.4000,2.3000,2.4000,64750,2.3000,2.4000,2.3000,2.4000,0,0,0
SBS,20150525,2.1000,2.2000,2.1000,2.2000,239010,2.1000,2.2000,2.1000,2.2000,0,0,0
SBS,20150522,2.0000,2.0000,2.0000,2.0000,316500,2.0000,2.0000,2.0000,2.0000,0,0,0
SBS,20150521,1.8000,1.9000,1.8000,1.9000,618800,1.8000,1.9000,1.8000,1.9000,1900000,0,0
SBS,20150520,1.8000,1.9000,1.7000,1.9000,258100,1.8000,1.9000,1.7000,1.9000,0,0,0
SBS,20150519,1.8000,1.9000,1.7000,1.8000,254710,1.8000,1.9000,1.7000,1.8000,0,0,0
SBS,20150518,1.9000,1.9000,1.8000,1.8000,153400,1.9000,1.9000,1.8000,1.8000,0,0,0
SBS,20150515,1.9000,2.0000,1.9000,1.9000,124200,1.9000,2.0000,1.9000,1.9000,0,0,0
SBS,20150514,2.0000,2.0000,1.9000,2.0000,138100,2.0000,2.0000,1.9000,2.0000,0,0,0
SBS,20150513,2.0000,2.0000,1.9000,2.0000,18000,2.0000,2.0000,1.9000,2.0000,0,0,0
SBS,20150512,2.0000,2.0000,1.9000,2.0000,198800,2.0000,2.0000,1.9000,2.0000,0,0,0
SBS,20150511,2.0000,2.1000,1.9000,2.0000,194200,2.0000,2.1000,1.9000,2.0000,0,0,0
SBS,20150508,2.0000,2.1000,1.9000,2.1000,285820,2.0000,2.1000,1.9000,2.1000,0,0,0
SBS,20150507,2.0000,2.1000,1.9000,2.0000,143400,2.0000,2.1000,1.9000,2.0000,0,0,0
SBS,20150506,2.0000,2.1000,1.9000,2.0000,386300,2.0000,2.1000,1.9000,2.0000,0,0,0
SBS,20150505,2.2000,2.2000,2.0000,2.0000,735586,2.2000,2.2000,2.0000,2.0000,0,0,0
SBS,20150504,2.4000,2.4000,2.2000,2.2000,154800,2.4000,2.4000,2.2000,2.2000,0,0,0
SBS,20150427,2.5000,2.5000,2.4000,2.5000,219800,2.5000,2.5000,2.4000,2.5000,0,0,27000
